,ticketid
3771,335538
3772,335537
3773,335536
3774,330577
3775,335535
3776,335533
3779,335042
3782,318554
3784,332974
3786,333131
3789,331279
3791,331862
3794,332645
3795,329517
3798,320523
3801,334888
3804,335153
3806,332555
3807,331432
3808,334718
3812,334519
3813,334995
3817,318566
3825,335159
3828,334093
3831,334211
3832,334204
3833,334206
3837,334766
3838,334195
3841,334191
3842,334048
3844,330669
3845,334167
3846,334020
3848,331482
3850,333992
3853,333211
3854,333960
3856,334100
3857,328965
3858,333947
3860,321991
3863,333885
3864,333662
3865,333579
3868,334106
3870,332964
3871,333848
3873,333660
3878,323725
3880,334464
3882,334416
3883,334414
3884,334413
3887,334399
3888,334391
3889,334381
3890,334353
3891,333756
3892,333723
3893,333712
3895,333691
3896,333686
3897,334321
3898,333628
3899,334342
3901,334323
3902,334322
3903,334318
3905,334302
3906,334245
3907,334243
3908,334232
3909,334224
3910,333497
3911,333478
3912,322664
3914,333427
3917,333442
3919,333565
3920,333567
3922,333438
3924,333972
3925,333547
3926,333546
3928,333930
3930,333536
3931,327252
3932,329602
3935,333397
3936,333512
3938,332358
3939,333359
3940,333356
3943,333340
3945,333330
3948,319529
3950,333235
3953,333221
3956,333178
3957,333182
3960,332533
3961,333156
3963,333577
3964,333133
3965,333125
3966,333128
3970,333803
3971,332478
3973,333787
3974,333769
3975,317792
3976,312486
3977,329840
3978,319436
3979,329838
3980,325146
3982,316996
3983,331147
3987,331961
3988,331970
3989,325798
3990,331963
3991,329640
3997,331957
3998,331948
3999,331951
4000,331946
4001,331945
4003,332557
4006,331940
4007,331930
4008,331927
4011,332670
4015,331921
4016,332314
4017,331912
4018,331913
4019,331911
4020,331907
4022,332634
4024,331886
4027,332611
4030,331870
4032,331864
4033,324313
4034,328229
4036,332016
4037,332000
4038,332013
4039,332009
4040,331999
4041,331856
4042,331842
4043,331851
4044,331990
4045,331980
4046,329998
4047,331820
4050,331814
4051,331707
4053,331797
4054,331800
4055,331794
4056,324973
4058,331777
4059,331788
4060,331779
4061,331414
4062,331759
4063,331541
4064,319282
4065,331744
4067,331737
4068,331733
4070,331722
4071,332437
4073,331715
4075,331700
4076,331701
4078,331694
4079,331693
4080,329066
4081,330147
4082,332384
4084,332369
4085,332363
4086,331322
4087,331554
4088,319824
4089,331259
4090,332320
4094,332287
4095,332286
4096,332285
4097,332279
4098,332278
4100,332275
4101,332273
4103,332266
4104,332261
4105,332256
4106,332250
4107,332245
4108,332244
4109,332240
4111,332237
4112,332236
4113,332227
4114,332196
4115,332209
4118,332195
4120,332191
4121,332185
4122,332171
4123,332168
4124,332162
4125,332147
4126,332142
4127,332140
4129,332135
4130,332134
4131,332125
4132,332124
4133,332118
4135,332107
4137,332097
4138,332092
4139,332074
4140,332068
4141,332057
4142,332049
4143,332048
4144,332046
4145,332042
4146,332037
4147,331649
4148,331657
4151,331640
4152,331646
4153,331639
4154,331638
4155,331642
4156,331647
4157,331632
4158,331628
4159,331633
4160,331635
4161,331619
4162,331609
4163,331591
4164,331595
4165,331592
4166,331588
4167,331590
4168,331583
4169,331581
4171,331573
4172,331545
4174,331547
4175,331540
4176,331517
4178,331524
4179,331511
4180,331513
4181,331508
4182,331489
4183,331485
4184,331469
4185,331476
4186,331480
4187,331477
4188,331465
4189,331458
4190,331464
4192,331438
4193,331442
4194,331441
4195,331448
4196,331447
4197,331443
4199,331360
4200,331337
4203,331226
4204,327688
4205,331939
4206,318650
4210,326472
4212,308273
4213,327320
4214,331676
4216,331673
4217,331667
4221,329700
4222,319536
4223,327711
4224,327615
4228,312073
4229,330447
4230,302638
4232,330943
4233,330722
4235,327924
4236,330598
4242,330736
4244,330006
4245,330261
4246,318712
4248,327767
4249,279063
4251,327605
4256,319368
4258,330164
4260,330131
4262,329999
4264,321078
4265,318537
4270,270167
4275,329069
4278,329855
4279,329845
4283,317562
4284,303491
4285,323189
4286,329799
4287,307146
4292,319518
4293,329785
4294,329791
4295,329763
4296,329753
4298,321005
4299,324956
4300,327056
4305,329943
4307,329301
4313,301444
4315,328482
4319,328161
4320,305827
4321,324139
4322,323591
4323,327538
4324,327460
4325,327463
4327,327471
4329,327483
4330,327500
4331,323100
4332,327501
4339,325793
4341,327526
4342,328440
4343,328457
4348,329086
4349,329095
4352,328317
4353,328316
4354,328315
4355,328320
4356,328313
4357,328311
4358,328302
4359,328223
4360,323818
4365,315706
4379,309161
4382,322481
4383,324684
4384,290871
4413,326212
4415,326827
4416,326176
4423,326153
4424,326509
4425,326105
4427,326098
4428,325128
4429,326052
4430,326045
4433,326714
4437,325965
4438,211693
4440,326657
4450,326231
4451,325966
4452,326556
4453,326559
4460,325025
4461,312901
4462,324955
4468,324724
4470,325738
4474,325411
4477,325383
4478,324985
4479,325271
4482,325242
4483,326024
4488,325169
4491,325148
4493,325139
4496,325132
4497,325910
4500,325907
4505,324744
4506,325855
4509,324203
4510,322187
4514,320363
4516,323857
4517,321821
4518,316099
4522,319605
4525,324575
4527,324534
4532,324443
4533,324441
4536,324050
4537,324382
4538,324397
4539,324373
4541,320605
4544,325133
4545,238958
4548,321100
4551,323266
4552,323227
4553,324176
4555,314557
4557,323477
4558,323030
4561,323378
4562,317752
4563,323286
4564,323375
4567,323373
4587,323163
4591,283980
4592,323926
4593,324118
4594,312081
4597,323623
4598,323426
4601,287036
4603,314164
4610,312375
4611,312358
4618,323047
4632,316962
4636,316989
4647,320181
4648,310371
4651,322482
4652,322476
4657,246003
4663,253285
4671,321483
4672,321465
4680,321203
4682,320918
4684,321773
4687,320421
4688,320403
4689,321278
4690,321023
4698,214589
4699,320118
4701,315320
4702,321042
4704,320072
4705,314636
4708,319768
4713,320320
4728,319325
4730,312403
4756,319632
4771,319316
4791,319259
4803,318473
4812,312545
4814,318159
4815,318512
4820,315198
4822,271254
4827,265637
4828,240623
4829,318363
4837,315631
4843,282505
4845,293343
4846,317788
4855,316346
4861,316138
4866,317204
4867,317198
4882,317440
4905,316912
4923,316549
4928,316512
4968,316097
4970,316054
4976,315967
4977,311988
4995,315402
5020,315155
5022,315121
5058,308059
5062,315615
5083,314103
5088,313891
5092,313739
5095,314228
5106,312532
5131,313121
5225,312318
5228,312307
5247,311166
5254,311492
5258,307423
5262,295541
5276,312029
5309,311311
5318,311209
5320,311224
5324,310777
5330,311909
5338,311688
5347,310829
5350,310835
5360,309671
5369,308954
5393,309857
5421,310200
5448,310079
5457,309737
5469,309623
5489,310423
5547,309529
5577,310373
5650,308425
5673,308155
5680,308135
5691,306656
5742,307372
5833,307055
5867,306952
5948,297756
6007,287312
6022,306464
6029,291832
6031,260379
6039,306377
6043,306181
6050,306351
6051,245152
6052,306429
6061,306797
6066,305877
6107,305811
6111,305637
6122,291419
6124,306012
6169,281114
6196,267999
6200,304982
6213,305312
6221,303844
6343,261327
6536,257007
6601,261256
6624,261218
6653,296328
6825,275995
6830,287964
6958,285559
6987,283289
7088,278696
7186,276278
7216,280981
7735,363745
7736,363642
7737,363726
7738,363150
7739,362548
7740,361234
7742,358900
7743,360271
7744,328410
7745,360467
7746,361532
7747,358122
7748,361554
7751,361219
7752,355081
7753,360472
7755,356511
7756,360461
7757,360390
7760,359162
7762,356722
7763,355093
7764,352392
7766,353337
7767,353184
7768,353083
7769,352981
7772,340151
7775,349300
7777,343356
7779,350477
7780,350211
7781,343591
7782,348655
7783,344094
7784,350833
7789,323557
7790,348365
7799,348661
7803,344501
7809,347058
7823,343270
7839,341052
7842,346059
7847,345883
7859,328517
7878,343306
7882,342200
7885,316343
7887,322818
7890,303497
7912,340514
7927,338520
7943,335245
7950,334097
7956,329624
7971,337375
7972,336675
7973,337647
7974,336381
7975,336566
7976,336918
7977,336531
7978,336477
7979,337035
7980,320442
7981,336118
7982,335327
7983,330615
7985,334750
7986,335229
7987,333380
7988,332061
7989,331310
7991,334955
7992,318301
7993,335891
7994,329656
7995,334624
7996,332338
7998,335614
7999,322460
8000,335588
8001,335208
8002,332410
8003,330632
8004,332294
8006,332442
8008,330454
8009,334529
8011,335037
8012,319482
8013,333504
8014,335264
8017,334505
8018,328844
8019,335152
8022,333002
8025,325480
8026,332199
8028,333009
8029,333114
8033,333987
8034,333794
8035,326201
8036,330813
8037,333339
8038,331656
8040,334079
8041,333667
8042,331203
8044,330145
8045,324040
8046,330486
8047,333227
8049,315363
8054,314191
8056,328366
8058,329408
8059,328809
8060,319502
8061,329332
8062,331299
8063,322491
8066,331123
8067,331220
8068,331154
8070,328951
8071,320298
8072,323107
8074,331225
8075,323454
8077,328225
8078,328390
8080,328553
8081,328099
8082,324165
8083,327746
8084,327813
8086,328422
8089,317373
8090,328362
8091,330651
8092,322255
8095,330431
8096,330460
8097,318069
8098,317968
8099,330659
8100,330477
8101,329355
8102,308937
8103,315224
8105,326744
8106,327579
8107,327690
8108,327443
8109,327926
8110,323595
8111,318525
8112,327907
8113,327265
8114,325601
8116,318539
8118,326701
8119,238574
8121,326514
8122,318027
8123,328280
8126,325808
8127,326477
8128,323719
8129,323410
8130,323361
8131,323436
8132,323033
8133,261199
8134,323672
8135,314357
8136,323270
8137,320985
8138,320341
8139,323083
8140,322796
8141,322421
8143,321262
8144,322548
8145,310066
8146,325853
8147,282180
8148,321959
8149,319826
8150,322000
8152,319835
8153,324309
8154,319500
8155,321343
8156,323032
8157,321374
8158,320467
8159,314031
8160,323910
8161,307843
8162,315970
8163,320524
8164,311146
8165,319845
8166,320312
8167,320457
8168,305915
8169,319367
8170,310193
8171,316853
8172,318522
8173,305050
8174,318638
8175,318495
8176,318510
8177,314932
8178,319966
8179,248675
8180,244434
8181,316972
8182,317013
8188,315696
8189,293914
8190,315535
8192,311458
8194,276132
8195,316500
8200,308762
8202,312589
8209,311549
8211,313973
8213,314627
8214,313848
8215,311207
8221,303169
8225,300907
8238,309093
8244,306947
8270,302557
8301,295798
8328,300230
